mode,accuracy,F1-score,precision,recall
TRAIN,0.44663038928421933,0.03644314868804664,0.2066115702479339,0.019984012789768184
VALID,0.47266881028938906,0.11827956989247312,0.5092592592592593,0.06690997566909976
TEST,0.4616822429906542,0.08133971291866028,0.3805970149253731,0.045535714285714284
TRAIN,0.44663038928421933,0.03644314868804664,0.2066115702479339,0.019984012789768184
VALID,0.47266881028938906,0.11827956989247312,0.5092592592592593,0.06690997566909976
TEST,0.4616822429906542,0.08133971291866028,0.3805970149253731,0.045535714285714284
TRAIN,0.44663038928421933,0.03644314868804664,0.2066115702479339,0.019984012789768184
VALID,0.47266881028938906,0.11827956989247312,0.5092592592592593,0.06690997566909976
TEST,0.4616822429906542,0.08133971291866028,0.3805970149253731,0.045535714285714284
TRAIN,0.44851402260359985,0.04563563926113726,0.24324324324324326,0.025179856115107913
VALID,0.4733118971061093,0.12593383137673425,0.5130434782608696,0.07177615571776155
TEST,0.4654205607476635,0.10204081632653061,0.42207792207792205,0.05803571428571429
TRAIN,0.44851402260359985,0.04563563926113726,0.24324324324324326,0.025179856115107913
VALID,0.4733118971061093,0.12593383137673425,0.5130434782608696,0.07177615571776155
TEST,0.4654205607476635,0.10204081632653061,0.42207792207792205,0.05803571428571429
TRAIN,0.45500209292591043,0.04545454545454546,0.2743362831858407,0.02478017585931255
VALID,0.4797427652733119,0.12540540540540537,0.5631067961165048,0.0705596107055961
TEST,0.4705607476635514,0.09577015163607341,0.45112781954887216,0.05357142857142857
TRAIN,0.45500209292591043,0.04545454545454546,0.2743362831858407,0.02478017585931255
VALID,0.4797427652733119,0.12540540540540537,0.5631067961165048,0.0705596107055961
TEST,0.4705607476635514,0.09577015163607341,0.45112781954887216,0.05357142857142857
TRAIN,0.45500209292591043,0.04545454545454546,0.2743362831858407,0.02478017585931255
VALID,0.4797427652733119,0.12540540540540537,0.5631067961165048,0.0705596107055961
TEST,0.4705607476635514,0.09577015163607341,0.45112781954887216,0.05357142857142857
TRAIN,0.45500209292591043,0.04545454545454546,0.2743362831858407,0.02478017585931255
VALID,0.4797427652733119,0.12540540540540537,0.5631067961165048,0.0705596107055961
TEST,0.4705607476635514,0.09577015163607341,0.45112781954887216,0.05357142857142857
TRAIN,0.8273336123901214,0.8161355025629596,0.9224181360201511,0.731814548361311
VALID,0.817363344051447,0.8035961272475796,0.9310897435897436,0.7068126520681265
TEST,0.8098130841121496,0.7951685958731757,0.9111880046136102,0.7053571428571429
TRAIN,0.8273336123901214,0.8161355025629596,0.9224181360201511,0.731814548361311
