mode,accuracy,F1-score,precision,recall
TRAIN,0.762034323984931,0.7656153370439086,0.7905491698595147,0.7422062350119905
VALID,0.7556270096463023,0.7601010101010102,0.7900262467191601,0.732360097323601
TEST,0.7593457943925234,0.7625633932687875,0.7883698760724499,0.7383928571428572
TRAIN,0.7664294683968188,0.771029954862536,0.7921585160202361,0.7509992006394884
VALID,0.7627009646302251,0.7680703959773727,0.7945383615084526,0.7433090024330901
TEST,0.7644859813084112,0.7688073394495414,0.7905660377358491,0.7482142857142857
TRAIN,0.7655922980326496,0.77058582548136,0.7903361344537815,0.7517985611510791
VALID,0.7633440514469454,0.7697121401752189,0.7925257731958762,0.7481751824817519
TEST,0.764018691588785,0.7688787185354692,0.7887323943661971,0.75
TRAIN,0.8283800753453328,0.8197802197802196,0.91064453125,0.7454036770583533
VALID,0.8218649517684887,0.8139691067830759,0.9085457271364318,0.7372262773722628
TEST,0.814018691588785,0.8056640625,0.8890086206896551,0.7366071428571429
TRAIN,0.930514859773964,0.9343094578551643,0.9251567398119123,0.9436450839328537
VALID,0.9131832797427653,0.9173300673606858,0.9235511713933415,0.9111922141119222
TEST,0.9070093457943925,0.9118298626495347,0.9050131926121372,0.91875
TRAIN,0.930514859773964,0.9343094578551643,0.9251567398119123,0.9436450839328537
VALID,0.9131832797427653,0.9173300673606858,0.9235511713933415,0.9111922141119222
TEST,0.9070093457943925,0.9118298626495347,0.9050131926121372,0.91875
TRAIN,0.9315613227291754,0.9349771326307417,0.9303521962801741,0.9396482813749001
VALID,0.9138263665594856,0.9174876847290641,0.928927680798005,0.9063260340632603
TEST,0.9107476635514019,0.9145413870246085,0.9165919282511211,0.9125
TRAIN,0.9315613227291754,0.9349771326307417,0.9303521962801741,0.9396482813749001
VALID,0.9138263665594856,0.9174876847290641,0.928927680798005,0.9063260340632603
TEST,0.9107476635514019,0.9145413870246085,0.9165919282511211,0.9125
TRAIN,0.9332356634575136,0.936769078295342,0.9292174596932756,0.9444444444444444
VALID,0.9157556270096463,0.9193846153846154,0.9302615193026152,0.9087591240875912
TEST,0.9126168224299065,0.9166295140436915,0.9154051647373108,0.9178571428571428
TRAIN,0.9363750523231478,0.9394904458598726,0.9357652656621729,0.9432454036770583
VALID,0.9170418006430868,0.92041949413942,0.9336670838548186,0.9075425790754258
TEST,0.9168224299065421,0.9203222918531782,0.9228007181328546,0.9178571428571428
TRAIN,0.9363750523231478,0.9394904458598726,0.9357652656621729,0.9432454036770583
VALID,0.9170418006430868,0.92041949413942,0.9336670838548186,0.9075425790754258
TEST,0.9168224299065421,0.9203222918531782,0.9228007181328546,0.9178571428571428
TRAIN,0.9363750523231478,0.9394904458598726,0.9357652656621729,0.9432454036770583
VALID,0.9209003215434084,0.9244007375537799,0.9341614906832298,0.9148418491484185
TEST,0.9196261682242991,0.9233511586452763,0.9217081850533808,0.925
TRAIN,0.940351611552951,0.9435531788472965,0.9352179034157833,0.9520383693045563
VALID,0.9209003215434084,0.9244007375537799,0.9341614906832298,0.9148418491484185
TEST,0.9196261682242991,0.9233511586452763,0.9217081850533808,0.925
TRAIN,0.9443281707827543,0.9471172962226639,0.942246835443038,0.9520383693045563
VALID,0.9260450160771704,0.9294045426642111,0.9380421313506815,0.9209245742092458
TEST,0.9257009345794392,0.9287315105333931,0.9324932493249325,0.925
TRAIN,0.9443281707827543,0.9471172962226639,0.942246835443038,0.9520383693045563
VALID,0.9260450160771704,0.9294045426642111,0.9380421313506815,0.9209245742092458
TEST,0.9271028037383178,0.9303571428571429,0.9303571428571429,0.9303571428571429
TRAIN,0.9439095856006697,0.9468253968253969,0.9401103230890465,0.9536370903277378
VALID,0.9260450160771704,0.9294045426642111,0.9380421313506815,0.9209245742092458
TEST,0.9271028037383178,0.9303571428571429,0.9303571428571429,0.9303571428571429
TRAIN,0.9508162411050649,0.9529905981196238,0.9539447336804165,0.9520383693045563
VALID,0.9292604501607717,0.9320148331273178,0.9472361809045227,0.9172749391727494
TEST,0.930841121495327,0.933453237410072,0.9402173913043478,0.9267857142857143
TRAIN,0.9508162411050649,0.9529905981196238,0.9539447336804165,0.9520383693045563
VALID,0.9292604501607717,0.9320148331273178,0.9472361809045227,0.9172749391727494
TEST,0.930841121495327,0.933453237410072,0.9402173913043478,0.9267857142857143
TRAIN,0.9508162411050649,0.9529905981196238,0.9539447336804165,0.9520383693045563
VALID,0.9292604501607717,0.9320148331273178,0.9472361809045227,0.9172749391727494
TEST,0.930841121495327,0.933453237410072,0.9402173913043478,0.9267857142857143
TRAIN,0.9508162411050649,0.9529905981196238,0.9539447336804165,0.9520383693045563
VALID,0.9292604501607717,0.9320148331273178,0.9472361809045227,0.9172749391727494
TEST,0.930841121495327,0.933453237410072,0.9402173913043478,0.9267857142857143
TRAIN,0.9508162411050649,0.9529905981196238,0.9539447336804165,0.9520383693045563
VALID,0.9331189710610932,0.9363525091799265,0.9421182266009852,0.9306569343065694
TEST,0.9341121495327103,0.9368562472010747,0.9398023360287511,0.9339285714285714
TRAIN,0.9589786521557137,0.9611111111111111,0.9542947202521671,0.9680255795363709
VALID,0.9382636655948553,0.9416058394160584,0.9416058394160584,0.9416058394160584
TEST,0.9364485981308411,0.9393398751115075,0.9385026737967914,0.9401785714285714
TRAIN,0.9589786521557137,0.9611111111111111,0.9542947202521671,0.9680255795363709
VALID,0.9382636655948553,0.9416058394160584,0.9416058394160584,0.9416058394160584
TEST,0.9364485981308411,0.9393398751115075,0.9385026737967914,0.9401785714285714
TRAIN,0.9589786521557137,0.9611111111111111,0.9542947202521671,0.9680255795363709
VALID,0.9382636655948553,0.9416058394160584,0.9416058394160584,0.9416058394160584
TEST,0.9364485981308411,0.9393398751115075,0.9385026737967914,0.9401785714285714
TRAIN,0.9589786521557137,0.9611111111111111,0.9542947202521671,0.9680255795363709
VALID,0.9382636655948553,0.9416058394160584,0.9416058394160584,0.9416058394160584
TEST,0.9364485981308411,0.9393398751115075,0.9385026737967914,0.9401785714285714
