mode,accuracy,F1-score,precision,recall
TRAIN,0.9660946002511511,0.967690466693259,0.9657643312101911,0.9696243005595524
VALID,0.9414790996784566,0.9444783404514948,0.9473684210526315,0.9416058394160584
TEST,0.930373831775701,0.9332138054683999,0.936993699369937,0.9294642857142857
TRAIN,0.9665131854332356,0.9680383539752297,0.9676517571884984,0.9684252597921663
VALID,0.9427652733118971,0.945565749235474,0.95079950799508,0.940389294403893
TEST,0.9341121495327103,0.9364005412719892,0.9462169553327257,0.9267857142857143
TRAIN,0.9663038928421934,0.9678963110667996,0.9657779546358933,0.9700239808153477
VALID,0.9446945337620579,0.9473039215686273,0.9543209876543209,0.940389294403893
TEST,0.9369158878504673,0.9392712550607288,0.9465095194922938,0.9321428571428572
TRAIN,0.9671410632063625,0.9686438985420412,0.9680638722554891,0.969224620303757
VALID,0.9440514469453376,0.9464615384615386,0.9576587795765878,0.9355231143552312
TEST,0.9373831775700935,0.939585211902615,0.9489981785063752,0.9303571428571429
TRAIN,0.9679782335705316,0.9694793536804308,0.967741935483871,0.9712230215827338
VALID,0.9434083601286174,0.9460122699386503,0.9542079207920792,0.9379562043795621
TEST,0.9397196261682244,0.9420224719101123,0.9484162895927601,0.9357142857142857
TRAIN,0.9683968187526162,0.9698181091345194,0.9700119952019193,0.9696243005595524
VALID,0.9408360128617363,0.9432098765432098,0.9573934837092731,0.9294403892944039
TEST,0.9383177570093458,0.9404332129963898,0.9507299270072993,0.9303571428571429
TRAIN,0.9683968187526162,0.9698181091345194,0.9700119952019193,0.9696243005595524
VALID,0.9408360128617363,0.9432098765432098,0.9573934837092731,0.9294403892944039
TEST,0.9383177570093458,0.9404332129963898,0.9507299270072993,0.9303571428571429
TRAIN,0.9683968187526162,0.9698181091345194,0.9700119952019193,0.9696243005595524
VALID,0.9408360128617363,0.9432098765432098,0.9573934837092731,0.9294403892944039
TEST,0.9383177570093458,0.9404332129963898,0.9507299270072993,0.9303571428571429
TRAIN,0.9683968187526162,0.9698181091345194,0.9700119952019193,0.9696243005595524
VALID,0.9408360128617363,0.9432098765432098,0.9573934837092731,0.9294403892944039
TEST,0.9383177570093458,0.9404332129963898,0.9507299270072993,0.9303571428571429
TRAIN,0.9683968187526162,0.9698301698301699,0.9696364362764682,0.9700239808153477
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9364485981308411,0.9387938793879388,0.9464609800362976,0.93125
TRAIN,0.969861866889912,0.971049457177322,0.9769417475728155,0.9652278177458034
VALID,0.9408360128617363,0.9432098765432098,0.9573934837092731,0.9294403892944039
TEST,0.9373831775700935,0.9390354868061874,0.9573283858998145,0.9214285714285714
TRAIN,0.969861866889912,0.971049457177322,0.9769417475728155,0.9652278177458034
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9373831775700935,0.9390354868061874,0.9573283858998145,0.9214285714285714
TRAIN,0.9683968187526162,0.9698181091345194,0.9700119952019193,0.9696243005595524
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9383177570093458,0.9404332129963898,0.9507299270072993,0.9303571428571429
TRAIN,0.9683968187526162,0.9698181091345194,0.9700119952019193,0.9696243005595524
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9383177570093458,0.9404332129963898,0.9507299270072993,0.9303571428571429
TRAIN,0.969861866889912,0.971049457177322,0.9769417475728155,0.9652278177458034
VALID,0.9363344051446946,0.9380863039399624,0.9652509652509652,0.9124087591240876
TEST,0.9373831775700935,0.9390354868061874,0.9573283858998145,0.9214285714285714
TRAIN,0.9683968187526162,0.9698301698301699,0.9696364362764682,0.9700239808153477
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9364485981308411,0.9387938793879388,0.9464609800362976,0.93125
TRAIN,0.9683968187526162,0.9698301698301699,0.9696364362764682,0.9700239808153477
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9364485981308411,0.9387938793879388,0.9464609800362976,0.93125
TRAIN,0.9683968187526162,0.9698181091345194,0.9700119952019193,0.9696243005595524
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9383177570093458,0.9404332129963898,0.9507299270072993,0.9303571428571429
TRAIN,0.9686061113436585,0.9699759807846278,0.9715316760224539,0.9684252597921663
VALID,0.9389067524115756,0.9414664202094886,0.9538077403245943,0.9294403892944039
TEST,0.9336448598130841,0.9359205776173286,0.9461678832116789,0.9258928571428572
TRAIN,0.969861866889912,0.971049457177322,0.9769417475728155,0.9652278177458034
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9373831775700935,0.9390354868061874,0.9573283858998145,0.9214285714285714
TRAIN,0.9683968187526162,0.9698301698301699,0.9696364362764682,0.9700239808153477
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9364485981308411,0.9387938793879388,0.9464609800362976,0.93125
TRAIN,0.969861866889912,0.971049457177322,0.9769417475728155,0.9652278177458034
VALID,0.9363344051446946,0.9380863039399624,0.9652509652509652,0.9124087591240876
TEST,0.9373831775700935,0.9390354868061874,0.9573283858998145,0.9214285714285714
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.9683968187526162,0.9698301698301699,0.9696364362764682,0.9700239808153477
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9364485981308411,0.9387938793879388,0.9464609800362976,0.93125
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.9683968187526162,0.9698301698301699,0.9696364362764682,0.9700239808153477
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9364485981308411,0.9387938793879388,0.9464609800362976,0.93125
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9408360128617363,0.9434889434889435,0.9528535980148883,0.9343065693430657
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.971049457177322,0.9769417475728155,0.9652278177458034
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.971049457177322,0.9769417475728155,0.9652278177458034
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9373831775700935,0.9390354868061874,0.9573283858998145,0.9214285714285714
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.971049457177322,0.9769417475728155,0.9652278177458034
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9373831775700935,0.9390354868061874,0.9573283858998145,0.9214285714285714
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.971049457177322,0.9769417475728155,0.9652278177458034
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9373831775700935,0.9390354868061874,0.9573283858998145,0.9214285714285714
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
TEST,0.9355140186915888,0.9373865698729583,0.9529520295202952,0.9223214285714286
TRAIN,0.969861866889912,0.9710610932475885,0.9765561843168957,0.9656274980015987
VALID,0.9363344051446946,0.9383945239576851,0.9605095541401274,0.9172749391727494
