mode,accuracy,F1-score,precision,recall
TRAIN,0.5856006697362913,0.7104416496051476,0.5601937269372693,0.9708233413269385
VALID,0.577491961414791,0.6995884773662552,0.5604395604395604,0.9306569343065694
TEST,0.5714953271028037,0.6952475905616485,0.5537321334039175,0.9339285714285714
TRAIN,0.5856006697362913,0.7104416496051476,0.5601937269372693,0.9708233413269385
VALID,0.577491961414791,0.6995884773662552,0.5604395604395604,0.9306569343065694
TEST,0.5714953271028037,0.6952475905616485,0.5537321334039175,0.9339285714285714
TRAIN,0.5920887400586019,0.7135929463629684,0.5642574947710899,0.9704236610711431
VALID,0.577491961414791,0.6995884773662552,0.5604395604395604,0.9306569343065694
TEST,0.5766355140186916,0.6967871485943775,0.5572805139186295,0.9294642857142857
TRAIN,0.9393051485977396,0.9434918160561184,0.9205323193916349,0.9676258992805755
VALID,0.9080385852090033,0.9141141141141143,0.9027283511269276,0.9257907542579076
TEST,0.8957943925233645,0.9026625927542559,0.8830059777967549,0.9232142857142858
TRAIN,0.9393051485977396,0.9434918160561184,0.9205323193916349,0.9676258992805755
VALID,0.9080385852090033,0.9141141141141143,0.9027283511269276,0.9257907542579076
TEST,0.8957943925233645,0.9026625927542559,0.8830059777967549,0.9232142857142858
TRAIN,0.9393051485977396,0.9434918160561184,0.9205323193916349,0.9676258992805755
VALID,0.9080385852090033,0.9141141141141143,0.9027283511269276,0.9257907542579076
TEST,0.8957943925233645,0.9026625927542559,0.8830059777967549,0.9232142857142858
TRAIN,0.9393051485977396,0.9434918160561184,0.9205323193916349,0.9676258992805755
VALID,0.9080385852090033,0.9141141141141143,0.9027283511269276,0.9257907542579076
TEST,0.8957943925233645,0.9026625927542559,0.8830059777967549,0.9232142857142858
TRAIN,0.9393051485977396,0.9434918160561184,0.9205323193916349,0.9676258992805755
VALID,0.9080385852090033,0.9141141141141143,0.9027283511269276,0.9257907542579076
TEST,0.8957943925233645,0.9026625927542559,0.8830059777967549,0.9232142857142858
TRAIN,0.9393051485977396,0.9434918160561184,0.9205323193916349,0.9676258992805755
VALID,0.9080385852090033,0.9141141141141143,0.9027283511269276,0.9257907542579076
TEST,0.8957943925233645,0.9026625927542559,0.8830059777967549,0.9232142857142858
TRAIN,0.9393051485977396,0.9434918160561184,0.9205323193916349,0.9676258992805755
VALID,0.9080385852090033,0.9141141141141143,0.9027283511269276,0.9257907542579076
TEST,0.8957943925233645,0.9026625927542559,0.8830059777967549,0.9232142857142858
TRAIN,0.9462118041021348,0.9495187585935965,0.9335650830436462,0.966027178257394
VALID,0.9080385852090033,0.9141141141141143,0.9027283511269276,0.9257907542579076
TEST,0.8957943925233645,0.9026625927542559,0.8830059777967549,0.9232142857142858
TRAIN,0.9462118041021348,0.9495187585935965,0.9335650830436462,0.966027178257394
VALID,0.9112540192926045,0.916565900846433,0.9110576923076923,0.9221411192214112
TEST,0.8995327102803738,0.9054945054945055,0.8917748917748918,0.9196428571428571
TRAIN,0.9508162411050649,0.9536031589338598,0.9422551697229808,0.9652278177458034
VALID,0.9112540192926045,0.916565900846433,0.9110576923076923,0.9221411192214112
TEST,0.9018691588785047,0.9069973427812222,0.8998242530755711,0.9142857142857143
TRAIN,0.9508162411050649,0.9536031589338598,0.9422551697229808,0.9652278177458034
VALID,0.9144694533762058,0.9190505173463176,0.9196102314250914,0.9184914841849149
TEST,0.9018691588785047,0.9069973427812222,0.8998242530755711,0.9142857142857143
TRAIN,0.9508162411050649,0.9536031589338598,0.9422551697229808,0.9652278177458034
VALID,0.9144694533762058,0.9190505173463176,0.9196102314250914,0.9184914841849149
TEST,0.9018691588785047,0.9069973427812222,0.8998242530755711,0.9142857142857143
